time,order,x,y,z,qw,qx,qy,qz,step_size,type
0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.1,1,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.2,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.3,3,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.4,4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.5,5,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.6,6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.7,7,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.8,8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
0.9,9,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.0,10,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.1,11,5.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.2,12,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.3,13,6.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.4,14,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.5,15,7.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.6,16,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.7,17,8.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.8,18,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
1.9,19,9.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.0,20,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.1,21,10.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.2,22,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.3,23,11.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.4,24,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.5,25,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.6,26,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.7,27,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.8,28,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
2.9,29,14.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.0,30,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.1,31,15.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.2,32,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.3,33,16.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.4,34,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.5,35,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.6,36,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.7,37,18.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.8,38,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
3.9,39,19.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.0,40,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.1,41,20.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.2,42,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.3,43,21.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.4,44,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.5,45,22.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.6,46,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.7,47,23.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.8,48,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
4.9,49,24.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.0,50,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.1,51,25.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.2,52,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.3,53,26.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.4,54,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.5,55,27.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.6,56,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.7,57,28.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.8,58,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
5.9,59,29.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
6.0,60,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,S
6.0,0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,T
6.1,1,30.5,0.0,0.0,0.9999875000260416,0.0,0.0,0.004999979166693909,0.5,T
6.2,2,31.0,0.02,0.0,0.9998000599729027,0.0,0.0,0.019996001554818954,0.5,T
6.3,3,31.5,0.04,0.0,0.9996872495119931,0.0,0.0,0.0250080619630197,0.5,T
6.4,4,32.0,0.08,0.0,0.9991983991800039,0.0,0.0,0.040031975670927575,0.5,T
6.5,5,32.5,0.12,0.0,0.9989809193441075,0.0,0.0,0.04513449663396953,0.5,T
6.6,6,32.99,0.18,0.0,0.9981787692941763,0.0,0.0,0.06032532246381835,0.5,T
6.7,7,33.49,0.24,0.0,0.9979253995250686,0.0,0.0,0.06438087435513862,0.5,T
6.8,8,33.98,0.32,0.0,0.9968202395843032,0.0,0.0,0.07968318489551252,0.5,T
6.9,9,34.48,0.4,0.0,0.9964879635483931,0.0,0.0,0.08373612424262572,0.5,T
7.0,10,34.97,0.5,0.0,0.9950366401873744,0.0,0.0,0.09950921909361779,0.5,T
7.1,11,35.46,0.6,0.0,0.9945920617231658,0.0,0.0,0.10385870573650666,0.5,T
7.2,12,35.94,0.72,0.0,0.9929880102615958,0.0,0.0,0.1182151068041517,0.5,T
7.3,13,36.43,0.84,0.0,0.9926840732374106,0.0,0.0,0.12074075840735518,0.5,T
7.4,14,36.91,0.97,0.0,0.9907602967568685,0.0,0.0,0.13562460827682388,0.5,T
7.5,15,37.39,1.12,0.0,0.9889525966542492,0.0,0.0,0.14823212057721472,0.5,T
7.6,16,37.86,1.27,0.0,0.988418182534282,0.0,0.0,0.15175472459079037,0.5,T
7.7,17,38.34,1.43,0.0,0.9867726478492053,0.0,0.0,0.16211027560481264,0.5,T
7.8,18,38.81,1.6,0.0,0.9843689908869827,0.0,0.0,0.17611839705193563,0.5,T
7.9,19,39.27,1.78,0.0,0.9822759147561185,0.0,0.0,0.18744073007228323,0.5,T
8.0,20,39.74,1.97,0.0,0.9806642506830449,0.0,0.0,0.1956977961865234,0.5,T
8.1,21,40.19,2.17,0.0,0.9780256512765421,0.0,0.0,0.20848459282425602,0.5,T
8.2,22,40.65,2.38,0.0,0.9767961006335522,0.0,0.0,0.2141713748078565,0.5,T
8.3,23,41.1,2.6,0.0,0.9744023282460825,0.0,0.0,0.22481126019088485,0.5,T
8.4,24,41.54,2.83,0.0,0.9726503053915357,0.0,0.0,0.23227437099635476,0.5,T
8.5,25,41.99,3.06,0.0,0.9716665814351941,0.0,0.0,0.23635577954017362,0.5,T
8.6,26,42.42,3.3,0.0,0.9670225618091228,0.0,0.0,0.25469072411872634,0.5,T
8.7,27,42.85,3.56,0.0,0.9643382932912187,0.0,0.0,0.2646727339417106,0.5,T
8.8,28,43.28,3.82,0.0,0.9635254372371763,0.0,0.0,0.2676167629221088,0.5,T
8.9,29,43.7,4.09,0.0,0.9599355441845541,0.0,0.0,0.28022089681375295,0.5,T
9.0,30,44.12,4.37,0.0,0.9572764085125157,0.0,0.0,0.2891744762342956,0.5,T
9.1,31,44.53,4.65,0.0,0.9540054755522751,0.0,0.0,0.29978918028554224,0.5,T
9.2,32,44.93,4.95,0.0,0.9492674594985081,0.0,0.0,0.31446985600729405,0.5,T
9.3,33,45.33,5.25,0.0,0.9482374463194873,0.0,0.0,0.3175621913854001,0.5,T
9.4,34,45.72,5.56,0.0,0.9439334403268353,0.0,0.0,0.3301358208870174,0.5,T
9.5,35,46.11,5.88,0.0,0.9408599474968277,0.0,0.0,0.33879574849201793,0.5,T
9.6,36,46.48,6.2,0.0,0.9368832708619595,0.0,0.0,0.3496422983264414,0.5,T
9.7,37,46.86,6.54,0.0,0.9339332943599055,0.0,0.0,0.35744734113720034,0.5,T
9.8,38,47.22,6.88,0.0,0.9302655825633767,0.0,0.0,0.36688682982361387,0.5,T
9.9,39,47.58,7.23,0.0,0.9278282145460427,0.0,0.0,0.37300778047153715,0.5,T
10.0,40,47.93,7.58,0.0,0.9243043263069146,0.0,0.0,0.38165627516172296,0.5,T
10.1,41,48.28,7.94,0.0,0.9195775873743082,0.0,0.0,0.392908463638602,0.5,T
10.2,42,48.62,8.31,0.0,0.9134975294917539,0.0,0.0,0.40684427440049137,0.5,T
10.3,43,48.95,8.69,0.0,0.9088782443454096,0.0,0.0,0.4170615505601133,0.5,T
10.4,44,49.27,9.07,0.0,0.9058475309953278,0.0,0.0,0.4236038840587614,0.5,T
10.5,45,49.58,9.46,0.0,0.9017668686308336,0.0,0.0,0.4322227604369546,0.5,T
10.6,46,49.89,9.85,0.0,0.8994218302374121,0.0,0.0,0.4370816528892329,0.5,T
10.7,47,50.19,10.26,0.0,0.8926362687390127,0.0,0.0,0.45077765220970434,0.5,T
10.8,48,50.48,10.66,0.0,0.8901596440871222,0.0,0.0,0.4556487770626493,0.5,T
10.9,49,50.76,11.07,0.0,0.8840677981885569,0.0,0.0,0.46735867190631775,0.5,T
11.0,50,51.04,11.49,0.0,0.8797809639010311,0.0,0.0,0.47537927548155967,0.5,T
11.1,51,51.3,11.92,0.0,0.8732188549412981,0.0,0.0,0.48732825833826643,0.5,T
11.2,52,51.56,12.34,0.0,0.8724858339420289,0.0,0.0,0.48863940648548004,0.5,T
11.3,53,51.81,12.78,0.0,0.864255696733386,0.0,0.0,0.5030527712515751,0.5,T
11.4,54,52.05,13.22,0.0,0.8602117561321245,0.0,0.0,0.5099369908254218,0.5,T
11.5,55,52.28,13.66,0.0,0.8554136473027071,0.0,0.0,0.517945452734436,0.5,T
11.6,56,52.5,14.11,0.0,0.8499645390571995,0.0,0.0,0.5268399020056115,0.5,T
11.7,57,52.72,14.56,0.0,0.8462738733408557,0.0,0.0,0.5327480936621597,0.5,T
11.8,58,52.92,15.02,0.0,0.837082605074696,0.0,0.0,0.5470765141014193,0.5,T
11.9,59,53.12,15.48,0.0,0.8345073219338767,0.0,0.0,0.5509968508428602,0.5,T
12.0,60,53.3,15.94,0.0,0.8262525103744092,0.0,0.0,0.5632999104384688,0.5,T
12.1,61,53.48,16.41,0.0,0.8228090912074764,0.0,0.0,0.5683178682975989,0.5,T
12.2,62,53.64,16.88,0.0,0.8156197364883344,0.0,0.0,0.5785883212187228,0.5,T
12.3,63,53.8,17.35,0.0,0.8134847280332749,0.0,0.0,0.5815862767093365,0.5,T
12.4,64,53.95,17.83,0.0,0.8055418255747591,0.0,0.0,0.5925389162322457,0.5,T
12.5,65,54.09,18.31,0.0,0.7989761603023712,0.0,0.0,0.6013626986008358,0.5,T
12.6,66,54.22,18.8,0.0,0.7920386739216648,0.0,0.0,0.6104709157792946,0.5,T
12.7,67,54.34,19.28,0.0,0.7862838738461151,0.0,0.0,0.6178654139289126,0.5,T
12.8,68,54.45,19.77,0.0,0.7787838408190384,0.0,0.0,0.6272923794205909,0.5,T
12.9,69,54.55,20.26,0.0,0.7724322512954716,0.0,0.0,0.6350971714301753,0.5,T
13.0,70,54.64,20.75,0.0,0.7658527200960913,0.0,0.0,0.6430160271108474,0.5,T
13.1,71,54.72,21.24,0.0,0.7591186748343413,0.0,0.0,0.6509522544071521,0.5,T
13.2,72,54.79,21.74,0.0,0.752300561775853,0.0,0.0,0.6588200549100914,0.5,T
13.3,73,54.85,22.24,0.0,0.7462064390924172,0.0,0.0,0.6657146162260632,0.5,T
13.4,74,54.9,22.73,0.0,0.7399009006072393,0.0,0.0,0.6727158815433125,0.5,T
13.5,75,54.94,23.23,0.0,0.7329083643378278,0.0,0.0,0.6803273693477647,0.5,T
13.6,76,54.97,23.73,0.0,0.7264129292571202,0.0,0.0,0.6872585075559924,0.5,T
13.7,77,54.99,24.23,0.0,0.7198097642879228,0.0,0.0,0.6941713788653094,0.5,T
13.8,78,55.0,24.73,0.0,0.7131199769201959,0.0,0.0,0.7010420090959879,0.5,T
13.8,0,55.0,25.0,0.0,1.0,0.0,0.0,0.0,0.5,S
13.9,1,55.0,25.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.0,2,55.0,26.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.1,3,55.0,26.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.2,4,55.0,27.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.3,5,55.0,27.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.4,6,55.0,28.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.5,7,55.0,28.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.6,8,55.0,29.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.7,9,55.0,29.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.8,10,55.0,30.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
14.9,11,55.0,30.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.0,12,55.0,31.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.1,13,55.0,31.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.2,14,55.0,32.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.3,15,55.0,32.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.4,16,55.0,33.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.5,17,55.0,33.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.6,18,55.0,34.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.7,19,55.0,34.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.8,20,55.0,35.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
15.9,21,55.0,35.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.0,22,55.0,36.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.1,23,55.0,36.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.2,24,55.0,37.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.3,25,55.0,37.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.4,26,55.0,38.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.5,27,55.0,38.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.6,28,55.0,39.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.7,29,55.0,39.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.8,30,55.0,40.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
16.9,31,55.0,40.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.0,32,55.0,41.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.1,33,55.0,41.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.2,34,55.0,42.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.3,35,55.0,42.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.4,36,55.0,43.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.5,37,55.0,43.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.6,38,55.0,44.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.7,39,55.0,44.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.8,40,55.0,45.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
17.9,41,55.0,45.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.0,42,55.0,46.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.1,43,55.0,46.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.2,44,55.0,47.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.3,45,55.0,47.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.4,46,55.0,48.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.5,47,55.0,48.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.6,48,55.0,49.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.7,49,55.0,49.5,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
18.8,50,55.0,50.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865475,0.5,S
